Unnamed: 0,cost,trade_size,volatility
49,-0.00160179,0.002564533,0.178634403
50,-0.000559445,0.000988285,0.173495459
51,0.009617364,0.008034424,0.187028304
52,-0.002671942,8.95e-05,0.286818781
53,0.001314913,0.001512961,0.41930574
54,-0.000190424,0.000883035,0.293491782
55,0.000158974,0.000175483,0.192049712
56,-0.000197104,9.04e-05,0.352105122
57,0.006315524,0.000828009,0.169350214
58,5.15e-06,0.001899607,0.066201368
59,0.000559268,0.000989356,0.251313886
60,0.002819255,0.0,0.147660103
61,0.023467149,0.006417713,0.293516856
62,-7.2e-05,7.56e-05,0.30295058
63,-0.000352408,1.87e-05,0.757217088
64,-0.000458867,6.39e-06,0.108085168
65,-0.000100994,9.22e-06,0.291189896
66,-8.08e-05,0.000362089,0.349898725
67,-3.9e-05,0.000579685,0.030196685
68,0.000757065,0.000611718,0.052481966
69,0.000295316,2.13e-05,0.308442939
70,0.000119847,0.000132821,0.481120846
71,-2.52e-05,0.000193867,0.013918059
72,-0.000644688,9.58e-05,0.243989424
73,0.013124601,0.001660462,0.372766247
74,0.006609684,0.000129443,0.359307424
75,-0.000994101,0.000726657,0.065259214
76,0.000800571,0.008714345,0.262786626
77,0.004980419,0.006230233,0.131662331
78,-0.003588545,7.11e-05,0.235050319
79,3.11e-05,0.000602011,0.227880088
80,0.000142437,0.00021226,0.409989467
81,-0.004811192,0.000801334,0.308021685
82,-0.00177812,0.011685451,0.233913506
83,-0.00025639,0.000135283,0.261149514
84,-0.000766469,0.000345314,0.805162518
85,0.002663595,0.000522362,0.145717761
86,-0.000482053,0.000753519,0.211033627
87,3.44e-05,0.000311486,0.004506873
88,-0.000231583,0.002032774,0.348742516
89,-0.001913474,2.93e-05,0.170768759
90,0.001231693,0.000303593,0.167521186
91,0.001964112,0.021192001,0.197661318
92,-0.001029013,0.0043243,0.200992644
93,0.002541545,0.000445135,0.204477608
94,0.00486063,0.003178149,0.212451025
95,0.000822094,0.000561289,0.248712519
96,0.000459961,5.68e-05,0.491914369
97,0.000405833,0.000983032,0.280069343
98,0.008769085,0.002298892,0.331878571
99,2.42e-05,0.000412415,0.124939006
100,-0.000209096,9.2e-06,0.231042721
101,0.001303934,0.003621002,0.197432865
102,-0.000617355,0.002883239,0.161163513
103,-0.005278557,0.002171635,0.207929381
104,0.00036272,0.002207353,0.177473768
105,-0.000221746,8.47e-07,0.04320921
106,0.009391554,0.000784432,0.408007916
107,-0.001091405,0.001874132,0.013398572
108,0.003485067,0.000212153,0.171335988
109,0.000414487,1.49e-05,0.254252205
110,0.002365056,0.00236745,0.240290183
111,-0.000135502,0.000446212,0.32379881
112,-0.000117162,0.0,0.15422034
113,0.000768039,0.077820386,0.239251954
114,0.000329186,9.26e-06,0.032016753
115,-0.000242914,0.001992502,0.198565301
116,0.000349602,0.009744423,0.005438521
117,0.003532571,0.000410767,0.430895004
118,-0.001272355,0.001500257,0.04539465
119,0.002451314,0.002108355,0.192086593
120,0.000275339,0.000643638,0.132879765
121,0.000877167,0.001233907,0.160750447
122,-0.001041546,0.038732445,0.332584987
123,-0.000404071,0.008318825,0.172843031
124,0.001168569,0.002513901,0.101226975
125,0.001332437,0.000725843,0.328953974
126,0.0010757,0.004448392,0.351968801
127,0.003120869,0.000732208,0.517113916
128,0.000125794,9.51e-06,0.429368375
129,0.003947063,0.000740523,0.290656226
130,0.002773488,0.002529674,0.185004366
131,0.005104707,0.024141896,0.341540944
132,-0.000431293,0.000109934,0.397972179
133,0.000945634,0.001157827,0.18427925
134,0.000239381,0.000366045,0.273253181
135,-0.00273774,0.001598915,0.294300954
136,0.001461785,0.000794197,0.398352764
137,0.000387896,8.46e-05,0.287623426
138,-0.000180409,0.000834259,0.053157516
139,-0.000519092,1.66e-05,0.271207551
140,0.00412456,0.08961471,0.160390815
141,-8.26e-05,0.006371858,0.180490083
142,4.41e-05,0.000116053,0.222663854
143,0.002247368,0.02838525,0.250428911
144,0.000175189,9.02e-05,0.256990123
145,0.009192362,0.003482522,0.292433209
146,0.001198483,3.99e-05,0.244986417
147,-0.008884059,0.0,0.456994558
148,0.000228327,0.006185598,0.015964453
149,-0.000788246,0.000990816,0.340126956
150,0.000232035,1.47e-05,0.235208773
151,0.000503566,0.000356765,0.340718879
152,0.000678979,0.000386722,0.206424114
153,0.000188159,0.000823728,0.060890515
154,-0.001646798,0.011533301,0.134868052
155,0.010165147,0.021970565,0.217678783
156,0.004242229,0.000117699,0.476354293
157,0.009318707,0.00348542,0.100624219
158,-0.000417714,5.38e-05,0.031708413
159,0.000257257,0.000413553,0.249917438
160,4.01e-05,4.72e-06,0.04630595
161,0.000316803,0.000267417,0.211988199
162,0.000971278,2.61e-05,0.287828461
163,0.001343914,0.003428982,0.14819182
164,0.000698628,9.01e-05,0.275802947
165,0.007301378,0.002017956,0.182681404
166,0.000799852,0.001038386,0.120407255
167,0.000423491,0.003867507,0.034746624
168,0.001381447,0.014010898,0.095844796
169,-0.002865728,0.001550625,0.518784318
170,-0.014348197,0.002300933,0.435566404
171,0.000798895,0.005209642,0.12768513
